episode_number,season,episode_in_season,title,directed_by,written_by,air_date,us_viewers_in_millions
189,8,19,"""The One with Joey's Interview""",Gary Halvorson,Doty Abrams,"April 4, 2002",22.59
190,8,20,"""The One with the Baby Shower""",Kevin S. Bright,Sherry Bilsing-Graham & Ellen Plummer,"April 25, 2002",22.24
191,8,21,"""The One with the Cooking Class""",Gary Halvorson,Story by : Dana Klein BorkowTeleplay by : Brian Buckner & Sebastian Jones,"May 2, 2002",23.97
192,8,22,"""The One Where Rachel Is Late""",Gary Halvorson,Shana Goldberg-Meehan,"May 9, 2002",24.32
193,8,23,"""The One Where Rachel Has a Baby” (part 1)",Kevin S. Bright,Scott Silveri Marta Kauffman & David Crane,"May 16, 2002",34.91
194,8,24,"""The One Where Rachel Has a Baby” (part 2)",Kevin S. Bright,Scott Silveri Marta Kauffman & David Crane,"May 16, 2002",34.91
195,9,1,"""The One Where No One Proposes""",Kevin S. Bright,Sherry Bilsing-Graham & Ellen Plummer,"September 26, 2002",34.01
196,9,2,"""The One Where Emma Cries""",Sheldon Epps,Dana Klein Borkow,"October 3, 2002",28.93
197,9,3,"""The One with the Pediatrician""",Roger Christiansen,Brian Buckner & Sebastian Jones,"October 10, 2002",26.63
198,9,4,"""The One with the Sharks""",Ben Weiss,Andrew Reich & Ted Cohen,"October 17, 2002",25.82
199,9,5,"""The One with Phoebe's Birthday Dinner""",David Schwimmer,Scott Silveri,"October 31, 2002",24.46
200,9,6,"""The One with the Male Nanny""",Kevin S. Bright,David Crane & Marta Kauffman,"November 7, 2002",27.51
201,9,7,"""The One with Ross's Inappropriate Song""",Gary Halvorson,Robert Carlock,"November 14, 2002",25.35
202,9,8,"""The One with Rachel's Other Sister""",Kevin S. Bright,Shana Goldberg-Meehan,"November 21, 2002",26.76
203,9,9,"""The One with Rachel's Phone Number""",Ben Weiss,Mark Kunerth,"December 5, 2002",25.43
204,9,10,"""The One with Christmas in Tulsa""",Kevin S. Bright,Doty Abrams,"December 12, 2002",22.29
