key,name,city,country,iata,icao,latitude,longitude,altitude,timezone,dst
KDI,Wolter Monginsidi Airport,Kendari,Indonesia,KDI,WAWW,-4.081610202789307,122.41799926757812,538,8,N
SBG,Maimun Saleh Airport,Sabang,Indonesia,SBG,WITB,5.87412977219,95.33969879150001,393,7,N
MLG,Abdul Rachman Saleh Airport,Malang,Indonesia,MLG,WARA,-7.926559925079999,112.714996338,1726,7,N
BDO,Husein Sastranegara International Airport,Bandung,Indonesia,BDO,WICC,-6.900629997253418,107.57599639892578,2436,7,N
CBN,Penggung Airport,Cirebon,Indonesia,CBN,WICD,-6.756140232090001,108.540000916,89,7,N
JOG,Adi Sutjipto International Airport,Yogyakarta,Indonesia,JOG,WARJ,-7.788179874420166,110.43199920654297,350,7,N
CXP,Tunggul Wulung Airport,Cilacap,Indonesia,CXP,WIHL,-7.645060062410001,109.033996582,69,7,N
PCB,Pondok Cabe Air Base,Jakarta,Indonesia,PCB,WIHP,-6.3369598388671875,106.76499938964844,200,7,N
SRG,Achmad Yani Airport,Semarang,Indonesia,SRG,WARS,-6.97273,110.375,10,7,N
BTH,Hang Nadim International Airport,Batam,Indonesia,BTH,WIDD,1.12102997303,104.119003296,126,7,N
TJQ,Buluh Tumbang (H A S Hanandjoeddin) Airport,Tanjung Pandan,Indonesia,TJQ,WIOD,-2.74571990967,107.754997253,164,7,N
PGK,Pangkal Pinang (Depati Amir) Airport,Pangkal Pinang,Indonesia,PGK,WIPK,-2.16219997406,106.138999939,109,7,N
TNJ,Raja Haji Fisabilillah International Airport,Tanjung Pinang,Indonesia,TNJ,WIDN,0.922683000565,104.531997681,52,7,N
SIQ,Dabo Airport,Singkep,Indonesia,SIQ,WIDS,-0.47918900847435,104.5790023803711,95,7,N
BDJ,Syamsudin Noor Airport,Banjarmasin,Indonesia,BDJ,WAOO,-3.4423599243164062,114.76300048828125,66,8,N
PKN,Iskandar Airport,Pangkalan Bun,Indonesia,PKN,WAOI,-2.70519995689,111.672996521,75,7,N
PKY,Tjilik Riwut Airport,Palangkaraya,Indonesia,PKY,WAOP,-2.22513008118,113.943000793,82,7,N
MOF,Maumere(Wai Oti) Airport,Maumere,Indonesia,MOF,WATC,-8.64064979553,122.236999512,115,8,N
ENE,Ende (H Hasan Aroeboesman) Airport,Ende,Indonesia,ENE,WATE,-8.8492898941,121.661003113,49,8,N
RTG,Frans Sales Lega Airport,Ruteng,Indonesia,RTG,WATG,-8.5970096588135,120.47699737549,3510,8,N
KOE,El Tari Airport,Kupang,Indonesia,KOE,WATT,-10.171600341796875,123.6709976196289,335,8,N
LBJ,Komodo (Mutiara II) Airport,Labuhan Bajo,Indonesia,LBJ,WATO,-8.48666000366211,119.88899993896484,66,8,N
BPN,Sultan Aji Muhamad Sulaiman Airport,Balikpapan,Indonesia,BPN,WALL,-1.26827001572,116.893997192,12,8,N
TRK,Juwata Airport,Taraken,Indonesia,TRK,WALR,3.326667,117.569444,23,8,N
SRI,Temindung Airport,Samarinda,Indonesia,SRI,WALS,-0.484530985355,117.156997681,33,8,N
AMI,Selaparang Airport,Mataram,Indonesia,AMI,WADA,-8.560709953309999,116.095001221,52,8,N
BMU,Muhammad Salahuddin Airport,Bima,Indonesia,BMU,WADB,-8.5396499633789,118.68699645996,3,8,N
WGP,Waingapu Airport,Waingapu,Indonesia,WGP,WADW,-9.669219970699999,120.302001953,33,8,N
SUB,Juanda International Airport,Surabaya,Indonesia,SUB,WARR,-7.3798298835754395,112.78700256347656,9,7,N
SOC,Adi Sumarmo Wiryokusumo Airport,Solo City,Indonesia,SOC,WARQ,-7.516089916229248,110.75700378417969,421,7,N
ICN,Incheon International Airport,Seoul,South Korea,ICN,RKSI,37.46910095214844,126.45099639892578,23,9,U
CNX,Chiang Mai International Airport,Chiang Mai,Thailand,CNX,VTCC,18.766799926799997,98.962600708,1036,7,U
CEI,Chiang Rai International Airport,Chiang Rai,Thailand,CEI,VTCT,19.952299118,99.88289642330001,1280,7,U
NST,Nakhon Si Thammarat Airport,Nakhon Si Thammarat,Thailand,NST,VTSF,8.539620399475098,99.9447021484375,13,7,U
NAK,Nakhon Ratchasima Airport,Nakhon Ratchasima,Thailand,NAK,VTUQ,14.94950008392334,102.31300354003906,765,7,U
KOP,Nakhon Phanom Airport,Nakhon Phanom,Thailand,KOP,VTUW,17.383800506591797,104.64299774169922,587,7,U
UBP,Ubon Ratchathani Airport,Ubon Ratchathani,Thailand,UBP,VTUU,15.2512998581,104.870002747,406,7,U
KKC,Khon Kaen Airport,Khon Kaen,Thailand,KKC,VTUK,16.466600418099997,102.783996582,670,7,U
THS,Sukhothai Airport,Sukhothai,Thailand,THS,VTPO,17.238000869750977,99.81819915771484,179,7,U
DPS,Ngurah Rai (Bali) International Airport,Denpasar,Indonesia,DPS,WADD,-8.7481698989868,115.16699981689,14,8,N
ATH,Eleftherios Venizelos International Airport,Athens,Greece,ATH,LGAV,37.9364013672,23.9444999695,308,2,E
